Algorithm,Workload,Avg_TAT,Avg_WT,Avg_RT,TQ
FCFS,Light,188.707,180.283,180.283,
FCFS,Heavy,2053.691,2011.79,2011.79,
FCFS,Mixed,949.146,929.213,929.213,
SJF,Light,75.203,66.779,66.779,
SJF,Heavy,1059.74,1017.839,1017.839,
SJF,Mixed,219.709,199.776,199.776,
PRIORITY,Light,175.202,166.77800000000002,166.77800000000002,
PRIORITY,Heavy,2009.654,1967.753,1967.753,
PRIORITY,Mixed,994.451,974.518,974.518,
RR,Light,162.88299999999998,154.64,61.057,4.0
RR,Heavy,1970.398,1929.365,182.718,4.0
RR,Mixed,424.6470000000001,405.534,123.57899999999998,4.0
RR,Light,167.905,159.66199999999998,99.775,8.0
RR,Heavy,1968.282,1927.249,347.038,8.0
RR,Mixed,440.398,421.285,200.248,8.0
RR,Light,169.148,160.90500000000003,137.88600000000002,16.0
RR,Heavy,1974.655,1933.622,630.341,16.0
RR,Mixed,479.398,460.285,298.225,16.0
