Algorithm,Workload,Avg_TAT,Avg_WT,Avg_RT,TQ
FCFS,Light,245.68,236.33,236.33,
FCFS,Light,200.32,191.65,191.65,
FCFS,Light,211.43,202.91,202.91,
FCFS,Light,244.07,236.13,236.13,
FCFS,Light,163.69,156.04,156.04,
FCFS,Light,176.01,167.81,167.81,
FCFS,Light,187.64,178.8,178.8,
FCFS,Light,161.97,154.06,154.06,
FCFS,Light,158.94,150.51,150.51,
FCFS,Light,137.32,128.59,128.59,
FCFS,Heavy,2328.89,2282.55,2282.55,
FCFS,Heavy,2148.72,2105.56,2105.56,
FCFS,Heavy,2086.21,2043.79,2043.79,
FCFS,Heavy,2220.62,2180.98,2180.98,
FCFS,Heavy,1809.0,1770.8,1770.8,
FCFS,Heavy,1883.74,1842.8,1842.8,
FCFS,Heavy,2134.05,2090.23,2090.23,
FCFS,Heavy,1994.71,1955.62,1955.62,
FCFS,Heavy,1924.04,1882.13,1882.13,
FCFS,Heavy,2006.93,1963.44,1963.44,
FCFS,Mixed,1270.97,1248.37,1248.37,
FCFS,Mixed,790.61,770.8,770.8,
FCFS,Mixed,1086.25,1062.35,1062.35,
FCFS,Mixed,1258.49,1238.73,1238.73,
FCFS,Mixed,895.0,871.99,871.99,
FCFS,Mixed,919.37,899.92,899.92,
FCFS,Mixed,636.33,620.95,620.95,
FCFS,Mixed,1341.82,1316.4,1316.4,
FCFS,Mixed,591.83,577.89,577.89,
FCFS,Mixed,700.79,684.73,684.73,
SJF,Light,80.75,71.4,71.4,
SJF,Light,84.03,75.36,75.36,
SJF,Light,92.86,84.34,84.34,
SJF,Light,90.58,82.64,82.64,
SJF,Light,67.65,60.0,60.0,
SJF,Light,81.09,72.89,72.89,
SJF,Light,75.34,66.5,66.5,
SJF,Light,63.94,56.03,56.03,
SJF,Light,68.84,60.41,60.41,
SJF,Light,46.95,38.22,38.22,
SJF,Heavy,1098.67,1052.33,1052.33,
SJF,Heavy,1123.21,1080.05,1080.05,
SJF,Heavy,1103.3,1060.88,1060.88,
SJF,Heavy,1025.74,986.1,986.1,
SJF,Heavy,956.65,918.45,918.45,
SJF,Heavy,1132.42,1091.48,1091.48,
SJF,Heavy,1099.81,1055.99,1055.99,
SJF,Heavy,972.4,933.31,933.31,
SJF,Heavy,1057.98,1016.07,1016.07,
SJF,Heavy,1027.22,983.73,983.73,
SJF,Mixed,236.77,214.17,214.17,
SJF,Mixed,204.69,184.88,184.88,
SJF,Mixed,225.99,202.09,202.09,
SJF,Mixed,193.07,173.31,173.31,
SJF,Mixed,224.68,201.67,201.67,
