Algorithm,Workload,Avg_TAT,Avg_WT,Avg_RT
FCFS,Light,245.68,236.33,236.33
FCFS,Light,200.32,191.65,191.65
FCFS,Light,211.43,202.91,202.91
FCFS,Light,244.07,236.13,236.13
FCFS,Light,163.69,156.04,156.04
FCFS,Light,176.01,167.81,167.81
FCFS,Light,187.64,178.8,178.8
FCFS,Light,161.97,154.06,154.06
FCFS,Light,158.94,150.51,150.51
FCFS,Light,137.32,128.59,128.59
FCFS,Heavy,2328.89,2282.55,2282.55
FCFS,Heavy,2148.72,2105.56,2105.56
FCFS,Heavy,2086.21,2043.79,2043.79
FCFS,Heavy,2220.62,2180.98,2180.98
FCFS,Heavy,1809.0,1770.8,1770.8
FCFS,Heavy,1883.74,1842.8,1842.8
FCFS,Heavy,2134.05,2090.23,2090.23
FCFS,Heavy,1994.71,1955.62,1955.62
FCFS,Heavy,1924.04,1882.13,1882.13
FCFS,Heavy,2006.93,1963.44,1963.44
FCFS,Mixed,1270.97,1248.37,1248.37
FCFS,Mixed,790.61,770.8,770.8
FCFS,Mixed,1086.25,1062.35,1062.35
FCFS,Mixed,1258.49,1238.73,1238.73
FCFS,Mixed,895.0,871.99,871.99
FCFS,Mixed,919.37,899.92,899.92
FCFS,Mixed,636.33,620.95,620.95
FCFS,Mixed,1341.82,1316.4,1316.4
FCFS,Mixed,591.83,577.89,577.89
FCFS,Mixed,700.79,684.73,684.73
