Algorithm,Workload,Avg_TAT,Avg_WT,Avg_RT
PRIORITY,Light,232.57,223.22,223.22
PRIORITY,Light,186.27,177.6,177.6
PRIORITY,Light,208.93,200.41,200.41
PRIORITY,Light,191.85,183.91,183.91
PRIORITY,Light,153.51,145.86,145.86
PRIORITY,Light,161.2,153.0,153.0
PRIORITY,Light,154.68,145.84,145.84
PRIORITY,Light,146.79,138.88,138.88
PRIORITY,Light,173.08,164.65,164.65
PRIORITY,Light,143.14,134.41,134.41
PRIORITY,Heavy,2256.99,2210.65,2210.65
PRIORITY,Heavy,2117.22,2074.06,2074.06
PRIORITY,Heavy,2028.82,1986.4,1986.4
PRIORITY,Heavy,1875.61,1835.97,1835.97
PRIORITY,Heavy,1787.49,1749.29,1749.29
PRIORITY,Heavy,1750.44,1709.5,1709.5
PRIORITY,Heavy,2028.06,1984.24,1984.24
PRIORITY,Heavy,1989.46,1950.37,1950.37
PRIORITY,Heavy,2002.4,1960.49,1960.49
PRIORITY,Heavy,2260.05,2216.56,2216.56
PRIORITY,Mixed,1254.28,1231.68,1231.68
PRIORITY,Mixed,892.42,872.61,872.61
PRIORITY,Mixed,1281.03,1257.13,1257.13
PRIORITY,Mixed,974.53,954.77,954.77
PRIORITY,Mixed,1055.47,1032.46,1032.46
PRIORITY,Mixed,858.5,839.05,839.05
PRIORITY,Mixed,811.63,796.25,796.25
PRIORITY,Mixed,1435.28,1409.86,1409.86
PRIORITY,Mixed,591.84,577.9,577.9
PRIORITY,Mixed,789.53,773.47,773.47
