Algorithm,Workload,TQ,Avg_TAT,Avg_WT,Avg_RT
RR,Light,4,143.05,134.69,53.41
RR,Light,4,112.37,105.02,42.9
RR,Light,4,116.68,109.16,47.39
RR,Light,4,122.2,114.18,45.69
RR,Light,4,194.97,185.56,66.32
RR,Light,4,179.34,171.83,72.38
RR,Light,4,236.9,228.31,91.15
RR,Light,4,211.33,202.3,79.22
RR,Light,4,169.05,160.92,59.15
RR,Light,4,142.94,134.43,52.96
RR,Heavy,4,1882.91,1841.39,175.63
RR,Heavy,4,1765.45,1728.91,178.62
RR,Heavy,4,1774.79,1737.53,176.21
RR,Heavy,4,1868.76,1828.91,178.7
RR,Heavy,4,2248.16,2201.28,187.41
RR,Heavy,4,1777.78,1740.5,182.55
RR,Heavy,4,2141.35,2098.68,185.48
RR,Heavy,4,2133.2,2087.95,194.18
RR,Heavy,4,2010.6,1970.18,183.09
RR,Heavy,4,2100.98,2058.32,185.31
RR,Mixed,4,360.97,344.41,120.2
RR,Mixed,4,342.55,326.57,109.94
RR,Mixed,4,355.62,340.53,120.22
RR,Mixed,4,320.61,303.16,107.57
RR,Mixed,4,633.54,607.87,130.54
RR,Mixed,4,493.31,472.22,128.88
RR,Mixed,4,470.29,450.25,136.46
RR,Mixed,4,458.32,438.75,136.54
RR,Mixed,4,454.8,434.87,127.58
RR,Mixed,4,356.46,336.71,117.86
RR,Light,8,146.37,138.01,87.32
RR,Light,8,111.89,104.54,68.37
RR,Light,8,118.21,110.69,73.3
RR,Light,8,121.63,113.61,72.89
RR,Light,8,202.47,193.06,109.87
RR,Light,8,185.49,177.98,118.02
RR,Light,8,253.98,245.39,151.53
RR,Light,8,220.68,211.65,133.78
RR,Light,8,176.25,168.12,98.97
RR,Light,8,142.08,133.57,83.7
RR,Heavy,8,1894.25,1852.73,332.16
RR,Heavy,8,1772.42,1735.88,337.43
RR,Heavy,8,1774.33,1737.07,332.36
RR,Heavy,8,1862.89,1823.04,335.91
RR,Heavy,8,2251.07,2204.19,357.38
RR,Heavy,8,1778.89,1741.61,338.0
RR,Heavy,8,2122.89,2080.22,359.83
RR,Heavy,8,2130.72,2085.47,374.67
RR,Heavy,8,2004.44,1964.02,350.7
RR,Heavy,8,2090.92,2048.26,351.94
RR,Mixed,8,384.73,368.17,195.51
RR,Mixed,8,367.64,351.66,178.55
RR,Mixed,8,359.48,344.39,185.61
RR,Mixed,8,332.9,315.45,170.28
RR,Mixed,8,651.34,625.67,226.83
RR,Mixed,8,509.3,488.21,214.12
RR,Mixed,8,494.05,474.01,217.45
RR,Mixed,8,464.7,445.13,223.43
RR,Mixed,8,465.58,445.65,207.67
RR,Mixed,8,374.26,354.51,183.03
RR,Light,16,150.32,141.96,121.1
RR,Light,16,114.81,107.46,93.6
RR,Light,16,119.93,112.41,97.97
RR,Light,16,117.7,109.68,96.36
RR,Light,16,198.97,189.56,159.24
RR,Light,16,188.44,180.93,158.08
RR,Light,16,253.98,245.39,211.6
RR,Light,16,225.08,216.05,182.62
RR,Light,16,175.87,167.74,140.84
RR,Light,16,146.38,137.87,117.45
RR,Heavy,16,1908.56,1867.04,606.77
RR,Heavy,16,1773.05,1736.51,599.53
RR,Heavy,16,1792.1,1754.84,597.9
RR,Heavy,16,1838.09,1798.24,595.71
RR,Heavy,16,2267.0,2220.12,644.36
RR,Heavy,16,1807.94,1770.66,600.36
RR,Heavy,16,2145.61,2102.94,675.74
RR,Heavy,16,2115.82,2070.57,685.82
RR,Heavy,16,2012.81,1972.39,645.54
RR,Heavy,16,2085.57,2042.91,651.68
RR,Mixed,16,419.89,403.33,291.47
RR,Mixed,16,388.96,372.98,258.14
RR,Mixed,16,380.29,365.2,257.78
RR,Mixed,16,371.33,353.88,246.83
RR,Mixed,16,710.82,685.15,365.17
RR,Mixed,16,565.25,544.16,322.53
RR,Mixed,16,564.64,544.6,335.59
RR,Mixed,16,516.02,496.45,335.54
RR,Mixed,16,488.82,468.89,308.35
RR,Mixed,16,387.96,368.21,260.85
