Algorithm,Workload,Avg_TAT,Avg_WT,Avg_RT
SJF,Light,80.75,71.4,71.4
SJF,Light,84.03,75.36,75.36
SJF,Light,92.86,84.34,84.34
SJF,Light,90.58,82.64,82.64
SJF,Light,67.65,60.0,60.0
SJF,Light,81.09,72.89,72.89
SJF,Light,75.34,66.5,66.5
SJF,Light,63.94,56.03,56.03
SJF,Light,68.84,60.41,60.41
SJF,Light,46.95,38.22,38.22
SJF,Heavy,1098.67,1052.33,1052.33
SJF,Heavy,1123.21,1080.05,1080.05
SJF,Heavy,1103.3,1060.88,1060.88
SJF,Heavy,1025.74,986.1,986.1
SJF,Heavy,956.65,918.45,918.45
SJF,Heavy,1132.42,1091.48,1091.48
SJF,Heavy,1099.81,1055.99,1055.99
SJF,Heavy,972.4,933.31,933.31
SJF,Heavy,1057.98,1016.07,1016.07
SJF,Heavy,1027.22,983.73,983.73
SJF,Mixed,236.77,214.17,214.17
SJF,Mixed,204.69,184.88,184.88
SJF,Mixed,225.99,202.09,202.09
SJF,Mixed,193.07,173.31,173.31
SJF,Mixed,224.68,201.67,201.67
SJF,Mixed,273.68,254.23,254.23
SJF,Mixed,199.13,183.75,183.75
SJF,Mixed,282.3,256.88,256.88
SJF,Mixed,191.39,177.45,177.45
SJF,Mixed,165.39,149.33,149.33
